ID,Text,Comment
Good.FertileAsh.DisplayName,Fertile ash,
Good.FertileAsh.PluralDisplayName,Fertile ash,
NaturalResource.FertileAshField.DisplayName,Fertile ash,
Wildfire.WardenStation.Name,Warden station (prototype),
Wildfire.WardenStation.Description,One warden fetches finite water and approaches reachable fires. Prototype requires live validation.,
Wildfire.Warden.PanelTitle,Fire response,
Wildfire.Resources.Recovery,Wildfire resource state is uncertain. Fire simulation and saving have stopped. Reload your last saved game to continue.,
Wildfire.Warden.Construction,Waiting for construction.,
Wildfire.Warden.Returning,Returning from the fire.,
Wildfire.Warden.Paused,Station paused.,
Wildfire.Warden.Disabled,Wildfire response is disabled.,
Wildfire.Warden.NoWorker,Assign a beaver to respond to fires.,
Wildfire.Warden.Restocking,Fetching water for the station.,
Wildfire.Warden.Fetching,Collecting water from the station.,
Wildfire.Warden.Approaching,Carrying water to the fire.,
Wildfire.Warden.Preparing,Preparing to spray.,
Wildfire.Warden.Applying,Waiting to apply water.,
Wildfire.Warden.Ready,Ready to respond.,
Wildfire.Warden.Unavailable,Fire information is unavailable. Any unused water is retained.,
Wildfire.Warden.OtherWork,Finishing other work.,
Wildfire.Warden.NoAccess,Connect a path to the station entrance.,
Wildfire.Warden.NoSafeFire,No suitable fire with a safe approach found within range.,
Wildfire.Warden.NoWater,Waiting for water. Keep clean water available in connected storage.,
Wildfire.Warden.UnsafeRoute,A safe route could not be found.,
Wildfire.Warden.Interrupted,The response was interrupted.,
Wildfire.Warden.TargetGone,The target fire is no longer burning.,
Wildfire.Warden.TargetUnavailable,The fire can no longer be treated safely.,
Wildfire.Warden.Applied,Water applied.,
Wildfire.Warden.Complete,Response complete.,
Wildfire.Warden.TimedOut,The response took too long. Any unused water is retained.,
Wildfire.Warden.WaterRetained,Unused water retained for the next response.,
Wildfire.Warden.NoSafeReturn,No safe return route found. Any unused water is retained.,
Wildfire.Warden.Reserve,Station water: {0}/{1},
Wildfire.Warden.Worker,Assigned wardens: {0}/{1},
Wildfire.Warden.Payload,Warden water: {0}/1,
Wildfire.Warden.Coverage,Response radius: {0} tiles. A safe route and approach are required.,
